variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-01 00:00:00+00:00,3.973007,7.5738015,102516.62,277.38135,0.71551
2015-01-01 01:00:00+00:00,4.1368084,7.82475,102532.59,277.38065,0.71556747
2015-01-01 02:00:00+00:00,4.063703,7.8202033,102559.87,277.2865,0.7155974
2015-01-01 03:00:00+00:00,3.9082563,7.658288,102586.82,277.2228,0.71562266
2015-01-01 04:00:00+00:00,3.5118225,7.1069417,102562.74,276.9445,0.7156503
2015-01-01 05:00:00+00:00,3.3053806,6.7576118,102550.7,276.7209,0.7156894
2015-01-01 06:00:00+00:00,3.966929,7.500689,102643.484,276.33664,0.7157492
2015-01-01 07:00:00+00:00,3.7309184,7.1687074,102649.77,275.8326,0.7157768
2015-01-01 08:00:00+00:00,3.5024316,6.9563575,102642.21,275.46292,0.7157883
2015-01-01 09:00:00+00:00,3.9328208,7.420051,102645.72,275.85477,0.7157676
2015-01-01 10:00:00+00:00,3.8942504,6.8087735,102613.234,276.8351,0.7158067
2015-01-01 11:00:00+00:00,3.7573838,6.9860206,102553.16,277.58142,0.715625
2015-01-01 12:00:00+00:00,3.5545375,7.2179213,102531.85,278.03906,0.71545017
2015-01-01 13:00:00+00:00,4.134958,7.2431445,102411.59,278.25922,0.7153237
2015-01-01 14:00:00+00:00,3.972548,7.5122175,102399.766,277.97675,0.7152386
2015-01-01 15:00:00+00:00,4.1804614,8.29876,102402.75,276.71118,0.7152179
2015-01-01 16:00:00+00:00,3.9587991,8.152235,102368.234,275.75922,0.71520865
2015-01-01 17:00:00+00:00,4.1627226,8.4570265,102293.67,275.76062,0.71522015
2015-01-01 18:00:00+00:00,4.295489,8.439664,102254.58,275.80008,0.71520865
2015-01-01 19:00:00+00:00,4.7202163,8.905124,102199.62,275.8264,0.71547776
2015-01-01 20:00:00+00:00,5.2094607,9.552447,102145.72,275.67685,0.71547776
2015-01-01 21:00:00+00:00,5.3631086,9.733539,102053.05,275.66644,0.7154341
2015-01-01 22:00:00+00:00,5.3973894,9.983683,101957.6,275.6637,0.71534204
2015-01-01 23:00:00+00:00,5.7034893,10.351636,101856.3,275.58685,0.71534437
2015-01-02 00:00:00+00:00,6.338505,11.323148,101692.37,275.57578,0.7153283
2015-01-02 01:00:00+00:00,6.642896,11.8231,101549.09,275.99048,0.7153007
2015-01-02 02:00:00+00:00,6.769693,11.930111,101479.43,276.63156,0.71525466
2015-01-02 03:00:00+00:00,7.200918,12.413967,101331.58,276.9985,0.7151558
2015-01-02 04:00:00+00:00,7.384019,12.743072,101160.086,277.56482,0.71458995
2015-01-02 05:00:00+00:00,7.36627,12.707849,101066.13,277.95114,0.7142127
2015-01-02 06:00:00+00:00,7.406014,12.689176,101061.445,277.26434,0.71618855
2015-01-02 07:00:00+00:00,7.4520726,12.70436,101057.19,277.0871,0.716062
2015-01-02 08:00:00+00:00,7.5451436,12.832863,101015.0,277.36612,0.71605974
2015-01-02 09:00:00+00:00,7.6660485,12.952197,100991.99,277.90613,0.71605974
2015-01-02 10:00:00+00:00,7.793783,12.963728,100998.28,278.40186,0.7155859
2015-01-02 11:00:00+00:00,7.8066745,12.986077,100989.76,279.13223,0.71549386
2015-01-02 12:00:00+00:00,8.158577,13.31562,101003.71,279.9111,0.7158619
2015-01-02 13:00:00+00:00,8.023683,12.9971,101033.86,280.4906,0.7152616
2015-01-02 14:00:00+00:00,7.6236033,12.548158,101094.04,280.6588,0.71488893
2015-01-02 15:00:00+00:00,7.2225714,12.1441965,101199.6,279.97064,0.71442664
2015-01-02 16:00:00+00:00,7.0773406,12.010324,101306.23,279.2631,0.7144082
2015-01-02 17:00:00+00:00,7.061323,12.045702,101370.03,278.99792,0.7142886
2015-01-02 18:00:00+00:00,7.2608995,12.279873,101432.13,278.88718,0.7142541
2015-01-02 19:00:00+00:00,7.549458,12.653662,101493.06,278.92593,0.7142472
2015-01-02 20:00:00+00:00,7.6931067,12.80858,101521.4,278.70578,0.7142196
2015-01-02 21:00:00+00:00,7.578812,12.6104965,101554.31,278.58322,0.7142012
2015-01-02 22:00:00+00:00,7.0471315,11.878308,101554.1,278.39423,0.7139781
2015-01-02 23:00:00+00:00,7.3569946,12.34735,101595.65,278.2883,0.7141092
2015-01-03 00:00:00+00:00,7.724486,12.771784,101615.77,278.3236,0.7141483
2015-01-03 01:00:00+00:00,7.977536,13.108463,101617.055,278.2322,0.7141506
2015-01-03 02:00:00+00:00,8.166956,13.362654,101683.84,278.14084,0.7142242
2015-01-03 03:00:00+00:00,7.7072444,12.798609,101697.16,278.046,0.71418047
2015-01-03 04:00:00+00:00,7.0597405,11.780234,101635.805,277.67975,0.7141253
2015-01-03 05:00:00+00:00,6.791091,11.383329,101576.26,277.23666,0.7140931
2015-01-03 06:00:00+00:00,6.6979327,11.327312,101554.95,276.93274,0.7140747
2015-01-03 07:00:00+00:00,6.8264847,11.549751,101467.71,276.64957,0.7140701
2015-01-03 08:00:00+00:00,7.269745,12.15281,101437.46,276.6551,0.714077
2015-01-03 09:00:00+00:00,7.5355644,12.41119,101353.2,276.6177,0.714077
2015-01-03 10:00:00+00:00,7.2558527,11.712579,101279.7,277.42288,0.7140609
2015-01-03 11:00:00+00:00,6.647982,11.445952,101175.42,278.03006,0.7140563
2015-01-03 12:00:00+00:00,7.1463757,11.67512,101043.016,278.33054,0.7140609
2015-01-03 13:00:00+00:00,7.2637243,11.678572,100926.805,278.40115,0.7140494
2015-01-03 14:00:00+00:00,6.7799344,11.00983,100874.18,278.1706,0.7140264
2015-01-03 15:00:00+00:00,6.0503263,10.098732,100767.13,277.6458,0.7139919
2015-01-03 16:00:00+00:00,6.115468,10.26108,100679.89,277.25812,0.7139781
2015-01-03 17:00:00+00:00,6.186339,10.377806,100614.484,276.8995,0.7139781
2015-01-03 18:00:00+00:00,5.903651,10.050129,100553.234,276.74857,0.7139781
2015-01-03 19:00:00+00:00,5.859665,10.08345,100556.43,276.60318,0.7140195
2015-01-03 20:00:00+00:00,5.9447613,9.966779,100536.086,276.4668,0.7145577
2015-01-03 21:00:00+00:00,5.875997,9.772131,100550.68,276.59418,0.71448183
2015-01-03 22:00:00+00:00,5.6827497,9.469877,100581.25,276.78387,0.7141161
2015-01-03 23:00:00+00:00,5.681476,9.54756,100670.516,276.752,0.7141368
2015-01-04 00:00:00+00:00,5.861907,9.728879,100719.73,276.7548,0.7141483
2015-01-04 01:00:00+00:00,6.3491096,10.525456,100808.46,276.7645,0.7141575
2015-01-04 02:00:00+00:00,6.71047,10.870743,100919.13,276.8642,0.7141759
2015-01-04 03:00:00+00:00,6.6979976,10.905666,100971.12,277.05597,0.7142058
2015-01-04 04:00:00+00:00,6.925456,11.250892,101038.97,277.0338,0.7141989
2015-01-04 05:00:00+00:00,6.8632593,11.264976,101112.26,276.98743,0.7141736
2015-01-04 06:00:00+00:00,6.6009526,10.985472,101171.375,276.8088,0.7141552
2015-01-04 07:00:00+00:00,6.5082173,10.891219,101245.3,276.45157,0.7141437
2015-01-04 08:00:00+00:00,6.548491,10.9336405,101355.66,276.35187,0.7141345
2015-01-04 09:00:00+00:00,6.6176353,10.79287,101449.18,276.6918,0.7141253
2015-01-04 10:00:00+00:00,5.1043124,8.595989,101538.87,277.4028,0.7140379
2015-01-04 11:00:00+00:00,6.6131563,10.096858,101561.875,277.87015,0.7140471
2015-01-04 12:00:00+00:00,6.343,9.802758,101612.9,278.11798,0.7140379
2015-01-04 13:00:00+00:00,6.585059,10.288992,101680.54,278.1443,0.7140586
2015-01-04 14:00:00+00:00,6.0631657,9.850478,101719.42,277.83414,0.7139827
2015-01-04 15:00:00+00:00,5.9337506,9.915148,101786.85,277.36334,0.71372044
2015-01-04 16:00:00+00:00,6.0848083,10.146116,101858.32,276.9632,0.71483374
2015-01-04 17:00:00+00:00,5.6587663,9.661978,101905.83,276.68417,0.7147417
2015-01-04 18:00:00+00:00,5.726288,9.89471,101971.34,276.24664,0.7147716
2015-01-04 19:00:00+00:00,5.704432,9.909539,102042.07,276.09085,0.71464974
2015-01-04 20:00:00+00:00,5.5025706,9.606936,102122.81,275.75092,0.7146037
2015-01-04 21:00:00+00:00,5.2344227,9.208512,102155.945,275.49753,0.7145623
2015-01-04 22:00:00+00:00,5.2199054,9.324148,102164.68,275.36945,0.71450025
2015-01-04 23:00:00+00:00,5.0923486,9.18861,102180.336,275.27808,0.71450484
2015-01-05 00:00:00+00:00,4.939181,8.832834,102208.56,275.3556,0.7145025
2015-01-05 01:00:00+00:00,4.936769,8.832743,102205.9,275.7073,0.7145232
2015-01-05 02:00:00+00:00,5.1504087,9.029072,102195.25,275.88315,0.71456695
2015-01-05 03:00:00+00:00,5.2315392,9.099148,102147.95,276.0147,0.71474403
2015-01-05 04:00:00+00:00,5.7635202,9.682252,102089.37,276.311,0.71486366
2015-01-05 05:00:00+00:00,6.0474524,10.066972,102048.78,276.60526,0.71489584
2015-01-05 06:00:00+00:00,6.323047,10.440143,101997.23,276.47232,0.71519256
2015-01-05 07:00:00+00:00,6.7045693,11.030332,101989.02,276.2328,0.7154686
2015-01-05 08:00:00+00:00,7.0686116,11.524495,101960.266,275.897,0.71548235
2015-01-05 09:00:00+00:00,7.182891,11.659095,101954.3,275.8437,0.71548235
2015-01-05 10:00:00+00:00,6.2937913,10.205752,101948.66,276.17325,0.7155261
2015-01-05 11:00:00+00:00,6.88249,10.933884,101923.62,276.2591,0.7156411
2015-01-05 12:00:00+00:00,6.3357353,10.319934,101927.77,276.19815,0.7156618
2015-01-05 13:00:00+00:00,6.104692,10.019005,101936.83,276.22723,0.7155468
2015-01-05 14:00:00+00:00,5.7808294,9.589366,101971.766,276.3491,0.71544325
2015-01-05 15:00:00+00:00,5.2584486,8.826495,102007.45,276.53256,0.7154203
2015-01-05 16:00:00+00:00,4.71828,7.982437,102009.8,276.68417,0.71539956
2015-01-05 17:00:00+00:00,4.2038035,7.2206945,102037.49,276.7984,0.71539265
2015-01-05 18:00:00+00:00,3.7804868,6.5853605,102040.9,276.74857,0.71537656
2015-01-05 19:00:00+00:00,3.4580863,6.1455364,102074.13,276.7008,0.71537197
2015-01-05 20:00:00+00:00,3.1035545,5.590368,102074.45,276.77902,0.7153697
2015-01-05 21:00:00+00:00,2.781327,5.0476947,102085.21,276.78732,0.7153697
2015-01-05 22:00:00+00:00,2.2124102,4.0570235,102082.98,276.63364,0.71537656
2015-01-05 23:00:00+00:00,2.3017726,4.179639,102066.36,276.68073,0.71537656
2015-01-06 00:00:00+00:00,2.0308428,3.7672262,102054.53,276.5305,0.71538806
2015-01-06 01:00:00+00:00,1.5418842,3.0026789,102048.46,276.3747,0.7154203
2015-01-06 02:00:00+00:00,1.0463521,2.1364768,102057.414,276.26947,0.7154847
2015-01-06 03:00:00+00:00,0.65373975,1.2611762,102067.0,276.25354,0.71545476
2015-01-06 04:00:00+00:00,0.78555685,1.0572658,102048.36,276.22794,0.7154318
2015-01-06 05:00:00+00:00,1.140022,1.5291694,102053.36,276.18985,0.7154088
2015-01-06 06:00:00+00:00,1.4536952,2.138401,102025.03,275.87692,0.7153973
2015-01-06 07:00:00+00:00,1.825571,3.0339456,102045.586,275.70245,0.71539265
2015-01-06 08:00:00+00:00,2.4191206,3.618013,102075.2,275.48367,0.7154088
2015-01-06 09:00:00+00:00,3.1524408,4.4274125,102095.23,275.39438,0.71540415
2015-01-06 10:00:00+00:00,3.3821452,4.872951,102064.336,275.5813,0.7154249
2015-01-06 11:00:00+00:00,3.6280456,5.341996,102029.93,275.51205,0.7153168
2015-01-06 12:00:00+00:00,3.757369,5.492181,101987.53,275.63947,0.7151834
2015-01-06 13:00:00+00:00,4.09958,6.0083723,101926.07,275.40683,0.71505
2015-01-06 14:00:00+00:00,4.3739285,6.668979,101888.47,275.2019,0.7149097
2015-01-06 15:00:00+00:00,4.475894,7.109522,101874.94,274.8606,0.7147716
2015-01-06 16:00:00+00:00,4.617785,7.4933157,101861.836,274.28043,0.714675
2015-01-06 17:00:00+00:00,4.6610475,7.8825955,101834.14,273.88095,0.7146014
2015-01-06 18:00:00+00:00,4.8162155,8.385193,101795.69,273.6324,0.7145416
2015-01-06 19:00:00+00:00,4.8642383,8.6199,101765.12,273.46484,0.7144703
2015-01-06 20:00:00+00:00,4.6754313,8.504051,101737.85,273.44824,0.7143967
2015-01-06 21:00:00+00:00,4.6475983,8.497759,101693.86,273.46762,0.71433
2015-01-06 22:00:00+00:00,4.546569,8.264845,101639.53,273.7473,0.7142909
2015-01-06 23:00:00+00:00,4.4729004,8.093923,101582.01,273.74316,0.7142403
